Price,Close,High,Low,Open,Volume
Ticker,NQ=F,NQ=F,NQ=F,NQ=F,NQ=F
Date,,,,,
2022-01-03,16485.5,16508.0,16292.0,16356.0,513549
2022-01-04,16275.75,16564.0,16139.5,16497.75,669527
2022-01-05,15766.5,16269.0,15752.75,16265.0,769790
2022-01-06,15759.0,15895.75,15598.5,15763.75,802950
2022-01-07,15581.0,15852.75,15510.0,15801.75,704406
2022-01-10,15608.0,15669.0,15152.5,15590.0,888780
2022-01-11,15831.0,15839.5,15475.0,15622.25,709363
2022-01-12,15887.25,16009.25,15762.5,15826.0,671265
2022-01-13,15490.25,15979.75,15458.25,15901.0,763018
2022-01-14,15595.75,15621.0,15312.5,15505.0,795897
2022-01-18,15206.0,15653.25,15170.75,15616.75,868066
2022-01-19,15033.5,15372.0,15011.25,15238.75,776612
2022-01-20,14841.0,15340.25,14646.75,15042.25,771410
2022-01-21,14426.5,14858.5,14408.5,14722.0,1041723
2022-01-24,14501.0,14582.0,13706.0,14410.0,1323080
2022-01-25,14140.75,14499.0,13890.0,14495.0,957800
2022-01-26,14158.5,14639.75,13945.5,13945.5,908549
2022-01-27,13986.75,14409.25,13844.5,14194.0,866647
2022-01-28,14433.0,14442.0,13831.0,14167.75,878243
2022-01-31,14905.0,14914.75,14353.25,14454.0,654278
2022-02-01,14994.75,15137.0,14729.25,14868.75,597305
2022-02-02,15114.5,15260.0,14825.0,15129.0,645396
2022-02-03,14492.25,14870.0,14456.25,14852.5,731581
2022-02-04,14685.5,14825.75,14362.75,14770.0,763735
2022-02-07,14559.75,14806.25,14511.5,14682.5,562312
2022-02-08,14734.5,14776.0,14467.5,14600.0,611858
2022-02-09,15038.25,15068.0,14741.0,14746.25,529886
2022-02-10,14701.0,15062.25,14622.0,15062.25,834478
2022-02-11,14240.5,14766.75,14181.0,14698.25,835981
2022-02-14,14253.0,14394.0,14031.0,14250.0,734224
2022-02-15,14609.5,14614.75,14223.25,14257.0,558472
2022-02-16,14600.0,14668.5,14381.0,14588.0,594304
2022-02-17,14164.75,14619.5,14131.5,14592.25,631084
2022-02-18,13996.0,14299.0,13906.25,14156.25,760914
2022-02-22,13862.75,14157.5,13580.25,13952.75,1114720
2022-02-23,13507.5,14068.75,13471.25,13928.25,713187
2022-02-24,13966.5,13983.25,13025.75,13484.25,1122732
2022-02-25,14180.5,14196.25,13760.25,13909.5,784997
2022-02-28,14228.0,14292.25,13683.0,13900.25,753711
2022-03-01,14005.5,14327.75,13900.0,14219.25,645171
2022-03-02,14239.25,14290.0,13911.5,14026.25,629022
2022-03-03,14030.5,14391.0,13955.0,14196.5,596925
2022-03-04,13839.75,14086.5,13733.75,14069.25,725774
2022-03-07,13320.75,13879.75,13265.0,13763.5,717846
2022-03-08,13267.0,13666.0,13103.25,13283.0,841407
2022-03-09,13734.75,13821.75,13189.75,13192.25,650826
2022-03-10,13586.0,13778.0,13396.25,13778.0,611077
2022-03-11,13292.0,13860.75,13281.75,13577.25,439890
2022-03-14,13045.5,13447.5,13015.5,13362.0,402608
2022-03-15,13451.75,13489.0,12944.0,13082.0,284955
2022-03-16,13953.0,14029.25,13420.5,13451.75,274498
2022-03-17,14111.75,14136.25,13822.75,13999.0,125160
2022-03-18,14095.3095703125,14095.3095703125,13970.5,14060.0,558776
2022-03-21,14370.5,14466.75,14183.75,14404.0,589629
2022-03-22,14654.0,14690.75,14293.5,14390.0,509918
2022-03-23,14447.0,14682.25,14441.0,14654.0,555130
2022-03-24,14763.75,14769.75,14433.5,14462.75,512267
2022-03-25,14755.75,14840.5,14572.5,14765.0,553931
2022-03-28,14985.25,14997.0,14658.75,14756.0,532125
2022-03-29,15237.75,15268.75,14956.5,14981.0,552951
2022-03-30,15071.5,15262.25,15012.25,15222.0,513516
2022-03-31,14868.75,15180.75,14855.5,15100.5,560785
2022-04-01,14863.75,14960.0,14725.0,14918.75,539029
2022-04-04,15164.25,15174.5,14801.0,14846.0,460171
2022-04-05,14828.0,15198.0,14780.25,15155.5,563198
2022-04-06,14505.25,14861.25,14394.75,14861.0,783213
2022-04-07,14536.0,14633.75,14317.0,14496.25,645737
2022-04-08,14327.0,14642.25,14310.5,14536.25,640156
2022-04-11,14000.0,14382.0,13984.75,14345.0,577477
2022-04-12,13945.0,14284.25,13881.25,14006.25,704351
2022-04-13,14221.5,14266.5,13921.0,13952.75,530164
2022-04-14,13893.75,14296.25,13876.5,14211.5,548400
2022-04-18,13907.75,14002.5,13729.5,13892.0,492103
2022-04-19,14217.25,14242.0,13828.0,13962.75,556357
2022-04-20,14004.75,14298.0,13956.5,14104.75,604344
2022-04-21,13728.25,14283.0,13667.5,14070.0,685788
2022-04-22,13353.5,13781.0,13297.0,13720.0,732255
2022-04-25,13535.75,13549.75,13184.0,13334.25,749649
2022-04-26,13016.0,13583.75,12801.5,13523.5,755330
2022-04-27,13009.0,13255.25,12878.25,12881.0,817196
2022-04-28,13454.75,13542.0,13033.0,13191.0,756360
2022-04-29,12852.0,13433.0,12831.75,13219.5,723386
2022-05-02,13073.0,13084.5,12709.75,12892.25,763818
2022-05-03,13087.5,13183.75,12968.5,13051.75,662216
2022-05-04,13531.25,13555.25,12883.0,13121.0,703191
2022-05-05,12858.0,13548.0,12705.25,13500.25,877795
2022-05-06,12695.75,12928.75,12519.0,12883.25,852234
2022-05-09,12193.75,12637.25,12135.25,12605.0,816033
2022-05-10,12349.0,12547.0,12102.25,12206.0,853859
2022-05-11,11969.75,12553.25,11938.5,12328.75,865890
2022-05-12,11947.25,12132.75,11689.0,12004.5,878238
2022-05-13,12382.75,12432.0,11891.5,11891.5,663517
2022-05-16,12244.75,12498.75,12190.25,12409.0,623715
2022-05-17,12560.25,12578.0,12234.0,12235.5,653222
2022-05-18,11935.5,12594.0,11862.75,12572.0,735386
2022-05-19,11878.25,12076.75,11704.0,11907.0,827741
2022-05-20,11840.75,12096.75,11491.25,11898.0,806781
2022-05-23,12035.25,12075.5,11783.75,11866.0,660213
2022-05-24,11771.0,11918.0,11576.25,11915.0,717429
2022-05-25,11942.25,12036.0,11672.0,11808.0,671096
2022-05-26,12279.25,12343.0,11848.25,11887.5,611884
2022-05-27,12677.75,12720.25,12222.0,12250.0,615992
2022-05-31,12646.5,12883.0,12480.0,12705.25,832388
2022-06-01,12551.0,12823.5,12454.75,12662.5,682211
2022-06-02,12893.75,12903.75,12442.5,12549.75,620008
2022-06-03,12551.0,12945.25,12503.0,12896.0,652955
2022-06-06,12605.0,12810.0,12527.0,12549.75,536936
2022-06-07,12711.5,12740.25,12412.5,12605.25,577970
2022-06-08,12615.75,12783.0,12579.25,12680.5,583652
2022-06-09,12275.0,12726.0,12255.25,12625.0,690155
2022-06-10,11840.0,12338.75,11823.0,12301.5,617395
2022-06-13,11296.5,11772.5,11254.5,11768.0,530220
2022-06-14,11314.25,11505.5,11205.0,11334.25,378134
2022-06-15,11593.75,11759.25,11327.75,11329.75,265812
2022-06-16,11124.75,11737.75,11036.75,11608.5,146538
